title	description	local_cat_id	global_cat_id	image_url	price	weight	taxable	condition	quantity	shipping_us48	shipping_alaska	shipping_hawaii	shipping_canada
(Set of 2 pcs) Dining chair wooden FAS grade oak natural wood made in North America 100% dirt-free wood chair solid chair table chair wooden living room chair simple and natural 46.5 * 54 * 80cm	• Length: 33.46 | Width: 26.38 | Height: 6.69\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/13.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/14.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/15.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/16.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/17.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/18.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/19.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0001_YESWOOD_Furniture_Store/20.jpg	173.93		no	new	522				
Dining chair wooden FAS grade oak natural wood made in North America 100% dirt-free wood chair solid chair table chair wooden living room chair simple and natural 46.5 * 54 * 80cm	• Length: 34.74 | Width: 27.87 | Height: 5.87\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/13.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/14.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/15.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/16.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/17.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/18.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/19.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0002_YESWOOD_Furniture_Store/20.jpg	88.93		no	new	349				
Pure Solid Wood Bedside Cabinet Modern Simple Nightstands European Beech Bedside Cabinet Nordic Bedroom Solid Beech Storage Cabinet 0.4m	• Length: 18.5 | Width: 16.14 | Height: 11.81\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0003_YESWOOD_Furniture_Store/08.jpg	92.18		no	new	294				
Walnut Color Dining Chair Wooden FAS Grade Oak Natural Wood Made in North America 100% Dirt-free Wood Chair Solid Chair Table Chair Wooden Living Room Chair Simple And Natural 47.5 * 55.5 * 78cm	• Length: 34.25 | Width: 26.97 | Height: 5.04\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0004_YESWOOD_Furniture_Store/09.jpg	92.64		no	new	291				
(Set of 2 pcs) Dining Chair Wooden FAS Grade Oak Natural Wood Made in North America 100% Dirt-free Wood Chair Solid Chair Table Chair Wooden Living Room Chair Simple And Natural 47.5 * 55.5 * 78cm	• Length: 33.27 | Width: 26.38 | Height: 6.89\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0005_YESWOOD_Furniture_Store/13.jpg	180.43		no	new	190				
Natural Oak Wood for Dining Bench Table Bench for Living Room	• Length: 41.34 | Width: 14.57 | Height: 3.94\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/01.png, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/10.png, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/13.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/14.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/15.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/16.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/17.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/18.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/19.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/20.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0006_YESWOOD_Furniture_Store/21.jpg	108.23		no	new	187				
(Set of 2 pcs) Dining chair wooden FAS grade oak natural wood made in North America 100% dirt-free wood chair solid chair table chair wooden living room chair simple and natural 46.5 * 54 * 80cm	• Length: 33.46 | Width: 26.38 | Height: 6.69\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/13.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/14.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/15.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0007_YESWOOD_Furniture_Store/16.jpg	154.43		no	new	184				
Center table Low Table 100% solid wood Top plate Desk Coffee table Width 120 x Depth 56 x Height 45 cm Study desk Work from home Easy to assemble Natural wood with storage shelf Natural writing desk	Two deawers\nThis coffee table has two drawers of storage space, which can store unused items in categories.\nMade of pure solid oak\nThe coffee table is made of North American FAS grade pure solid wood, which has the most natural grain of oak itself and the most natural beauty. The smooth table top allows users to place items according to their own ideas.\nOver 300 lbs weight capacity\nThe trapezoidal table legs and higher table legs allow the table to withstand heavy products and facilitate cleaning by the sweeping robot.\n • Length: 51.18 | Width: 26.77 | Height: 7.09\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/12.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/13.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0008_YESWOOD_Furniture_Store/14.jpg	237.89		no	new	179				
Round End Table- Small End Table Side Table Coffee Table Bedside Table Night Stand for Living Room Bedroom & Balcony, 100% Natural Solid Oak Wood Easy to Assemble	• Length: 20.47 | Width: 22.05 | Height: 3.55\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0009_YESWOOD_Furniture_Store/07.jpg	74.35		no	new	164				
(Set of 2 pcs) Dining Chair Wooden FAS Grade Oak Natural Wood Made in North America 100% Dirt-free Wood Chair Solid Chair Table Chair Wooden Living Room Chair Simple And Natural 47.5 * 55.5 * 78cm	• Length: 33.27 | Width: 26.38 | Height: 6.89\nBrand: GVAwood	2395351	154	https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/01.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/02.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/03.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/04.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/05.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/06.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/07.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/08.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/09.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/10.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/11.jpg, https://raw.githubusercontent.com/GVAwood/product-images/main/0010_YESWOOD_Furniture_Store/12.jpg	180.43		no	new	164				
