row,folder,file,cdn_url,status,error
1,0001_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,10.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,11.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,12.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,13.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,14.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,15.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,16.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,17.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,18.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,19.jpg,,fail,Shopify 406: 
1,0001_YESWOOD_Furniture_Store,20.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
2,0002_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
